T(K),Al_Cp,Al_H,Al_S,Al_Hfus,Al_Sfus,Cu_Cp,Cu_H,Cu_S,Cu_Hfus,Cu_Sfus,Mg_Cp,Mg_H,Mg_S,Mg_Hfus,Mg_Sfus,Si_Cp,Si_H,Si_S,Si_Hfus,Si_Sfus,Zn_Cp,Zn_H,Zn_S,Zn_Hfus,Zn_Sfus
300,24.325,45,28.45,10711,11.474,24.471,45,33.301,13263,9.768,24.892,46,32.825,8477,9.184,20.055,37,18.934,50208,29.762,25.412,47,41.787,7322,10.571
302,24.361,94,28.612,10711,11.474,24.496,94,33.464,13263,9.768,24.923,96,32.99,8477,9.184,20.115,77,19.067,50208,29.762,25.428,98,41.956,7322,10.571
304,24.396,142,28.773,10711,11.474,24.52,143,33.626,13263,9.768,24.954,146,33.155,8477,9.184,20.173,118,19.2,50208,29.762,25.444,149,42.124,7322,10.571
306,24.431,191,28.933,10711,11.474,24.545,192,33.787,13263,9.768,24.984,196,33.319,8477,9.184,20.231,158,19.333,50208,29.762,25.46,200,42.291,7322,10.571
308,24.466,240,29.092,10711,11.474,24.569,241,33.947,13263,9.768,25.014,246,33.482,8477,9.184,20.287,198,19.465,50208,29.762,25.476,251,42.457,7322,10.571
310,24.5,289,29.251,10711,11.474,24.593,291,34.106,13263,9.768,25.044,296,33.644,8477,9.184,20.343,239,19.596,50208,29.762,25.492,302,42.622,7322,10.571
312,24.534,338,29.409,10711,11.474,24.617,340,34.264,13263,9.768,25.074,346,33.805,8477,9.184,20.398,280,19.727,50208,29.762,25.508,353,42.786,7322,10.571
314,24.567,387,29.565,10711,11.474,24.64,389,34.421,13263,9.768,25.103,396,33.965,8477,9.184,20.452,321,19.858,50208,29.762,25.525,404,42.949,7322,10.571
316,24.6,436,29.721,10711,11.474,24.663,438,34.578,13263,9.768,25.132,446,34.125,8477,9.184,20.504,362,19.988,50208,29.762,25.541,455,43.111,7322,10.571
318,24.633,486,29.877,10711,11.474,24.686,488,34.733,13263,9.768,25.16,497,34.283,8477,9.184,20.556,403,20.117,50208,29.762,25.558,506,43.272,7322,10.571
320,24.666,535,30.031,10711,11.474,24.708,537,34.888,13263,9.768,25.188,547,34.441,8477,9.184,20.608,444,20.246,50208,29.762,25.574,557,43.432,7322,10.571
322,24.698,584,30.185,10711,11.474,24.731,587,35.042,13263,9.768,25.216,597,34.598,8477,9.184,20.658,485,20.375,50208,29.762,25.591,608,43.592,7322,10.571
324,24.73,634,30.338,10711,11.474,24.753,636,35.196,13263,9.768,25.244,648,34.754,8477,9.184,20.708,526,20.503,50208,29.762,25.607,659,43.75,7322,10.571
326,24.761,683,30.49,10711,11.474,24.775,686,35.348,13263,9.768,25.271,698,34.91,8477,9.184,20.757,568,20.631,50208,29.762,25.624,710,43.908,7322,10.571
328,24.793,733,30.642,10711,11.474,24.796,735,35.5,13263,9.768,25.298,749,35.064,8477,9.184,20.805,609,20.758,50208,29.762,25.641,762,44.065,7322,10.571
330,24.824,782,30.793,10711,11.474,24.818,785,35.65,13263,9.768,25.325,799,35.218,8477,9.184,20.852,651,20.884,50208,29.762,25.658,813,44.221,7322,10.571
332,24.855,832,30.943,10711,11.474,24.839,834,35.8,13263,9.768,25.352,850,35.371,8477,9.184,20.899,693,21.01,50208,29.762,25.675,864,44.376,7322,10.571
334,24.885,882,31.092,10711,11.474,24.86,884,35.95,13263,9.768,25.378,901,35.524,8477,9.184,20.945,735,21.136,50208,29.762,25.692,916,44.53,7322,10.571
336,24.916,932,31.241,10711,11.474,24.881,934,36.098,13263,9.768,25.404,952,35.675,8477,9.184,20.99,777,21.261,50208,29.762,25.709,967,44.683,7322,10.571
